"BodyType","Make","Year","car_numbers"
Cars,ABARTH,2018,22162
Cars,ABARTH,2019,24891
Cars,ABARTH,2020,26500
Cars,ABARTH,2021,28069
Cars,ABARTH,2022,29307
Heavy goods vehicles,ABARTH,2018,1
Heavy goods vehicles,ABARTH,2019,1
Heavy goods vehicles,ABARTH,2020,1
Heavy goods vehicles,ABARTH,2021,1
Heavy goods vehicles,ABARTH,2022,1
Cars,AC,2018,167
Cars,AC,2019,179
Cars,AC,2020,179
Cars,AC,2021,183
Cars,AC,2022,197
Heavy goods vehicles,AC,2018,0
Heavy goods vehicles,AC,2019,0
Heavy goods vehicles,AC,2020,0
Heavy goods vehicles,AC,2021,1
Heavy goods vehicles,AC,2022,1
Light goods vehicles,AC,2018,1
Light goods vehicles,AC,2019,1
Light goods vehicles,AC,2020,2
Light goods vehicles,AC,2021,1
Light goods vehicles,AC,2022,1
Other vehicles,AC,2018,5
Other vehicles,AC,2019,5
Other vehicles,AC,2020,5
Other vehicles,AC,2021,6
Other vehicles,AC,2022,6
Cars,ACCESS,2018,0
Cars,ACCESS,2019,1
Cars,ACCESS,2020,4
Cars,ACCESS,2021,4
Cars,ACCESS,2022,5
Light goods vehicles,ACCESS,2018,8
Light goods vehicles,ACCESS,2019,4
Light goods vehicles,ACCESS,2020,8
Light goods vehicles,ACCESS,2021,7
Light goods vehicles,ACCESS,2022,6
Motorcycles,ACCESS,2018,0
Motorcycles,ACCESS,2019,0
Motorcycles,ACCESS,2020,0
Motorcycles,ACCESS,2021,0
Motorcycles,ACCESS,2022,1
Other vehicles,ACCESS,2018,113
Other vehicles,ACCESS,2019,82
Other vehicles,ACCESS,2020,118
Other vehicles,ACCESS,2021,79
Other vehicles,ACCESS,2022,65
Cars,AC (ELECTRIC),2018,182
Cars,AC (ELECTRIC),2019,185
Cars,AC (ELECTRIC),2020,183
Cars,AC (ELECTRIC),2021,190
Cars,AC (ELECTRIC),2022,187
Light goods vehicles,AC (ELECTRIC),2018,1
Light goods vehicles,AC (ELECTRIC),2019,1
Light goods vehicles,AC (ELECTRIC),2020,1
Light goods vehicles,AC (ELECTRIC),2021,1
Light goods vehicles,AC (ELECTRIC),2022,1
Other vehicles,AC (ELECTRIC),2018,18
Other vehicles,AC (ELECTRIC),2019,20
Other vehicles,AC (ELECTRIC),2020,24
Other vehicles,AC (ELECTRIC),2021,24
Other vehicles,AC (ELECTRIC),2022,25
Cars,ACURA,2018,36
Cars,ACURA,2019,40
Cars,ACURA,2020,39
Cars,ACURA,2021,36
Cars,ACURA,2022,24
Light goods vehicles,ACURA,2018,2
Light goods vehicles,ACURA,2019,2
Light goods vehicles,ACURA,2020,0
Light goods vehicles,ACURA,2021,0
Light goods vehicles,ACURA,2022,0
Light goods vehicles,ADDAX,2018,0
Light goods vehicles,ADDAX,2019,0
Light goods vehicles,ADDAX,2020,0
Light goods vehicles,ADDAX,2021,0
Light goods vehicles,ADDAX,2022,4
Light goods vehicles,ADLY,2018,4
Light goods vehicles,ADLY,2019,5
Light goods vehicles,ADLY,2020,9
Light goods vehicles,ADLY,2021,6
Light goods vehicles,ADLY,2022,8
Motorcycles,ADLY,2018,32
Motorcycles,ADLY,2019,28
Motorcycles,ADLY,2020,21
Motorcycles,ADLY,2021,14
Motorcycles,ADLY,2022,10
Other vehicles,ADLY,2018,32
Other vehicles,ADLY,2019,27
Other vehicles,ADLY,2020,29
Other vehicles,ADLY,2021,26
Other vehicles,ADLY,2022,25
Cars,ADRIA,2018,0
Cars,ADRIA,2019,0
Cars,ADRIA,2020,0
Cars,ADRIA,2021,0
Cars,ADRIA,2022,0
Heavy goods vehicles,ADRIA,2018,43
Heavy goods vehicles,ADRIA,2019,72
Heavy goods vehicles,ADRIA,2020,113
Heavy goods vehicles,ADRIA,2021,228
Heavy goods vehicles,ADRIA,2022,287
Light goods vehicles,ADRIA,2018,111
Light goods vehicles,ADRIA,2019,223
Light goods vehicles,ADRIA,2020,340
Light goods vehicles,ADRIA,2021,556
Light goods vehicles,ADRIA,2022,595
Heavy goods vehicles,AEBI,2018,0
Heavy goods vehicles,AEBI,2019,1
Heavy goods vehicles,AEBI,2020,1
Heavy goods vehicles,AEBI,2021,1
Heavy goods vehicles,AEBI,2022,0
Light goods vehicles,AEBI,2018,0
Light goods vehicles,AEBI,2019,0
Light goods vehicles,AEBI,2020,0
Light goods vehicles,AEBI,2021,0
Light goods vehicles,AEBI,2022,0
Other vehicles,AEBI,2018,104
Other vehicles,AEBI,2019,111
Other vehicles,AEBI,2020,119
Other vehicles,AEBI,2021,121
Other vehicles,AEBI,2022,122
Cars,AEON,2018,2
Cars,AEON,2019,3
Cars,AEON,2020,3
Cars,AEON,2021,4
Cars,AEON,2022,2
Light goods vehicles,AEON,2018,10
Light goods vehicles,AEON,2019,11
Light goods vehicles,AEON,2020,12
Light goods vehicles,AEON,2021,10
Light goods vehicles,AEON,2022,10
Motorcycles,AEON,2018,2
Motorcycles,AEON,2019,3
Motorcycles,AEON,2020,1
Motorcycles,AEON,2021,2
Motorcycles,AEON,2022,1
Other vehicles,AEON,2018,60
Other vehicles,AEON,2019,75
Other vehicles,AEON,2020,127
Other vehicles,AEON,2021,139
Other vehicles,AEON,2022,122
Other vehicles,AGCO ALLIS,2018,3
Other vehicles,AGCO ALLIS,2019,3
Other vehicles,AGCO ALLIS,2020,3
Other vehicles,AGCO ALLIS,2021,2
Other vehicles,AGCO ALLIS,2022,2
Cars,AGRIFAC,2018,1
Cars,AGRIFAC,2019,1
Cars,AGRIFAC,2020,1
Cars,AGRIFAC,2021,2
Cars,AGRIFAC,2022,2
Heavy goods vehicles,AGRIFAC,2018,0
Heavy goods vehicles,AGRIFAC,2019,0
Heavy goods vehicles,AGRIFAC,2020,0
Heavy goods vehicles,AGRIFAC,2021,0
Heavy goods vehicles,AGRIFAC,2022,0
Motorcycles,AGRIFAC,2018,0
Motorcycles,AGRIFAC,2019,0
Motorcycles,AGRIFAC,2020,0
Motorcycles,AGRIFAC,2021,1
Motorcycles,AGRIFAC,2022,1
Other vehicles,AGRIFAC,2018,129
Other vehicles,AGRIFAC,2019,154
Other vehicles,AGRIFAC,2020,170
Other vehicles,AGRIFAC,2021,196
Other vehicles,AGRIFAC,2022,206
Other vehicles,AIE,2018,5
Other vehicles,AIE,2019,5
Other vehicles,AIE,2020,5
Other vehicles,AIE,2021,4
Other vehicles,AIE,2022,3
Buses and coaches,AIXAM,2018,5
Buses and coaches,AIXAM,2019,6
Buses and coaches,AIXAM,2020,5
Buses and coaches,AIXAM,2021,4
Buses and coaches,AIXAM,2022,3
Cars,AIXAM,2018,904
Cars,AIXAM,2019,812
Cars,AIXAM,2020,744
Cars,AIXAM,2021,671
Cars,AIXAM,2022,608
Heavy goods vehicles,AIXAM,2018,1
Heavy goods vehicles,AIXAM,2019,1
Heavy goods vehicles,AIXAM,2020,1
Heavy goods vehicles,AIXAM,2021,1
Heavy goods vehicles,AIXAM,2022,1
Light goods vehicles,AIXAM,2018,219
Light goods vehicles,AIXAM,2019,187
Light goods vehicles,AIXAM,2020,152
Light goods vehicles,AIXAM,2021,143
Light goods vehicles,AIXAM,2022,120
Other vehicles,AIXAM,2018,21
Other vehicles,AIXAM,2019,15
Other vehicles,AIXAM,2020,13
Other vehicles,AIXAM,2021,9
Other vehicles,AIXAM,2022,10
Motorcycles,AJP,2018,144
Motorcycles,AJP,2019,172
Motorcycles,AJP,2020,171
Motorcycles,AJP,2021,188
Motorcycles,AJP,2022,169
Cars,AJS,2018,19
Cars,AJS,2019,21
Cars,AJS,2020,17
Cars,AJS,2021,17
Cars,AJS,2022,18
Heavy goods vehicles,AJS,2018,0
Heavy goods vehicles,AJS,2019,0
Heavy goods vehicles,AJS,2020,0
Heavy goods vehicles,AJS,2021,0
Heavy goods vehicles,AJS,2022,0
Light goods vehicles,AJS,2018,1
Light goods vehicles,AJS,2019,1
Light goods vehicles,AJS,2020,1
Light goods vehicles,AJS,2021,1
Light goods vehicles,AJS,2022,1
Motorcycles,AJS,2018,9240
Motorcycles,AJS,2019,9111
Motorcycles,AJS,2020,9235
Motorcycles,AJS,2021,9070
Motorcycles,AJS,2022,8924
Other vehicles,AJS,2018,21
Other vehicles,AJS,2019,23
Other vehicles,AJS,2020,19
Other vehicles,AJS,2021,19
Other vehicles,AJS,2022,16
Buses and coaches,ALBION,2018,43
Buses and coaches,ALBION,2019,44
Buses and coaches,ALBION,2020,40
Buses and coaches,ALBION,2021,36
Buses and coaches,ALBION,2022,40
Cars,ALBION,2018,6
Cars,ALBION,2019,6
Cars,ALBION,2020,5
Cars,ALBION,2021,5
Cars,ALBION,2022,6
Heavy goods vehicles,ALBION,2018,45
Heavy goods vehicles,ALBION,2019,42
Heavy goods vehicles,ALBION,2020,39
Heavy goods vehicles,ALBION,2021,39
Heavy goods vehicles,ALBION,2022,41
Light goods vehicles,ALBION,2018,298
Light goods vehicles,ALBION,2019,300
Light goods vehicles,ALBION,2020,291
Light goods vehicles,ALBION,2021,284
Light goods vehicles,ALBION,2022,289
Other vehicles,ALBION,2018,26
Other vehicles,ALBION,2019,25
Other vehicles,ALBION,2020,26
Other vehicles,ALBION,2021,25
Other vehicles,ALBION,2022,26
Buses and coaches,ALEXANDER DENNIS,2018,14680
Buses and coaches,ALEXANDER DENNIS,2019,15454
Buses and coaches,ALEXANDER DENNIS,2020,15659
Buses and coaches,ALEXANDER DENNIS,2021,15560
Buses and coaches,ALEXANDER DENNIS,2022,15430
Heavy goods vehicles,ALEXANDER DENNIS,2018,0
Heavy goods vehicles,ALEXANDER DENNIS,2019,0
Heavy goods vehicles,ALEXANDER DENNIS,2020,1
Heavy goods vehicles,ALEXANDER DENNIS,2021,2
Heavy goods vehicles,ALEXANDER DENNIS,2022,7
Light goods vehicles,ALEXANDER DENNIS,2018,1
Light goods vehicles,ALEXANDER DENNIS,2019,1
Light goods vehicles,ALEXANDER DENNIS,2020,0
Light goods vehicles,ALEXANDER DENNIS,2021,1
Light goods vehicles,ALEXANDER DENNIS,2022,1
Other vehicles,ALEXANDER DENNIS,2018,3
Other vehicles,ALEXANDER DENNIS,2019,3
Other vehicles,ALEXANDER DENNIS,2020,2
Other vehicles,ALEXANDER DENNIS,2021,2
Other vehicles,ALEXANDER DENNIS,2022,2
Cars,ALFA ROMEO,2018,88819
Cars,ALFA ROMEO,2019,86475
Cars,ALFA ROMEO,2020,83224
Cars,ALFA ROMEO,2021,81217
Cars,ALFA ROMEO,2022,78582
Light goods vehicles,ALFA ROMEO,2018,10
Light goods vehicles,ALFA ROMEO,2019,7
Light goods vehicles,ALFA ROMEO,2020,8
Light goods vehicles,ALFA ROMEO,2021,7
Light goods vehicles,ALFA ROMEO,2022,9
Motorcycles,ALFA ROMEO,2018,0
Motorcycles,ALFA ROMEO,2019,1
Motorcycles,ALFA ROMEO,2020,1
Motorcycles,ALFA ROMEO,2021,1
Motorcycles,ALFA ROMEO,2022,1
Other vehicles,ALFA ROMEO,2018,23
Other vehicles,ALFA ROMEO,2019,19
Other vehicles,ALFA ROMEO,2020,19
Other vehicles,ALFA ROMEO,2021,18
Other vehicles,ALFA ROMEO,2022,19
Motorcycles,ALFER,2018,0
Motorcycles,ALFER,2019,0
Motorcycles,ALFER,2020,0
Motorcycles,ALFER,2021,0
Motorcycles,ALFER,2022,0
Other vehicles,ALFER,2018,1
Other vehicles,ALFER,2019,1
Other vehicles,ALFER,2020,1
Other vehicles,ALFER,2021,1
Other vehicles,ALFER,2022,0
Light goods vehicles,ALKE,2018,0
Light goods vehicles,ALKE,2019,0
Light goods vehicles,ALKE,2020,0
Light goods vehicles,ALKE,2021,8
Light goods vehicles,ALKE,2022,23
Cars,ALL WHEEL DRIVE,2018,3
Cars,ALL WHEEL DRIVE,2019,2
Cars,ALL WHEEL DRIVE,2020,2
Cars,ALL WHEEL DRIVE,2021,2
Cars,ALL WHEEL DRIVE,2022,1
Heavy goods vehicles,ALL WHEEL DRIVE,2018,88
Heavy goods vehicles,ALL WHEEL DRIVE,2019,76
Heavy goods vehicles,ALL WHEEL DRIVE,2020,57
Heavy goods vehicles,ALL WHEEL DRIVE,2021,43
Heavy goods vehicles,ALL WHEEL DRIVE,2022,36
Light goods vehicles,ALL WHEEL DRIVE,2018,1
Light goods vehicles,ALL WHEEL DRIVE,2019,1
Light goods vehicles,ALL WHEEL DRIVE,2020,1
Light goods vehicles,ALL WHEEL DRIVE,2021,1
Light goods vehicles,ALL WHEEL DRIVE,2022,1
Motorcycles,ALL WHEEL DRIVE,2018,1
Motorcycles,ALL WHEEL DRIVE,2019,0
Motorcycles,ALL WHEEL DRIVE,2020,0
Motorcycles,ALL WHEEL DRIVE,2021,0
Motorcycles,ALL WHEEL DRIVE,2022,0
Other vehicles,ALL WHEEL DRIVE,2018,6
Other vehicles,ALL WHEEL DRIVE,2019,5
Other vehicles,ALL WHEEL DRIVE,2020,4
Other vehicles,ALL WHEEL DRIVE,2021,5
Other vehicles,ALL WHEEL DRIVE,2022,4
Cars,ALPINA,2018,282
Cars,ALPINA,2019,285
Cars,ALPINA,2020,274
Cars,ALPINA,2021,270
Cars,ALPINA,2022,270
Motorcycles,ALPINA,2018,1
Motorcycles,ALPINA,2019,1
Motorcycles,ALPINA,2020,1
Motorcycles,ALPINA,2021,1
Motorcycles,ALPINA,2022,1
Cars,ALPINE,2018,134
Cars,ALPINE,2019,287
Cars,ALPINE,2020,366
Cars,ALPINE,2021,560
Cars,ALPINE,2022,794
Cars,AM GENERAL,2018,6
Cars,AM GENERAL,2019,7
Cars,AM GENERAL,2020,7
Cars,AM GENERAL,2021,6
Cars,AM GENERAL,2022,7
Heavy goods vehicles,AM GENERAL,2018,1
Heavy goods vehicles,AM GENERAL,2019,1
Heavy goods vehicles,AM GENERAL,2020,2
Heavy goods vehicles,AM GENERAL,2021,2
Heavy goods vehicles,AM GENERAL,2022,2
Light goods vehicles,AM GENERAL,2018,6
Light goods vehicles,AM GENERAL,2019,8
Light goods vehicles,AM GENERAL,2020,7
Light goods vehicles,AM GENERAL,2021,4
Light goods vehicles,AM GENERAL,2022,19
Motorcycles,APEX,2018,0
Motorcycles,APEX,2019,0
Motorcycles,APEX,2020,0
Motorcycles,APEX,2021,1
Motorcycles,APEX,2022,1
Other vehicles,APEX,2018,2
Other vehicles,APEX,2019,2
Other vehicles,APEX,2020,2
Other vehicles,APEX,2021,3
Other vehicles,APEX,2022,3
Motorcycles,APIX ROTARY,2018,0
Motorcycles,APIX ROTARY,2019,0
Motorcycles,APIX ROTARY,2020,0
Motorcycles,APIX ROTARY,2021,0
Motorcycles,APIX ROTARY,2022,0
Light goods vehicles,APPLIED SWEEPER,2018,0
Light goods vehicles,APPLIED SWEEPER,2019,0
Light goods vehicles,APPLIED SWEEPER,2020,0
Light goods vehicles,APPLIED SWEEPER,2021,0
Light goods vehicles,APPLIED SWEEPER,2022,0
Motorcycles,APPLIED SWEEPER,2018,0
Motorcycles,APPLIED SWEEPER,2019,0
Motorcycles,APPLIED SWEEPER,2020,0
Motorcycles,APPLIED SWEEPER,2021,1
Motorcycles,APPLIED SWEEPER,2022,1
Other vehicles,APPLIED SWEEPER,2018,52
Other vehicles,APPLIED SWEEPER,2019,42
Other vehicles,APPLIED SWEEPER,2020,32
Other vehicles,APPLIED SWEEPER,2021,29
Other vehicles,APPLIED SWEEPER,2022,22
Motorcycles,APRILIA,2018,15900
Motorcycles,APRILIA,2019,15131
Motorcycles,APRILIA,2020,15038
Motorcycles,APRILIA,2021,14801
Motorcycles,APRILIA,2022,15746
Other vehicles,APRILIA,2018,2
Other vehicles,APRILIA,2019,4
Other vehicles,APRILIA,2020,3
Other vehicles,APRILIA,2021,4
Other vehicles,APRILIA,2022,4
Cars,ARIEL,2018,107
Cars,ARIEL,2019,116
Cars,ARIEL,2020,133
Cars,ARIEL,2021,167
Cars,ARIEL,2022,178
Light goods vehicles,ARIEL,2018,0
Light goods vehicles,ARIEL,2019,0
Light goods vehicles,ARIEL,2020,0
Light goods vehicles,ARIEL,2021,0
Light goods vehicles,ARIEL,2022,0
Motorcycles,ARIEL,2018,58
Motorcycles,ARIEL,2019,72
Motorcycles,ARIEL,2020,85
Motorcycles,ARIEL,2021,83
Motorcycles,ARIEL,2022,96
Motorcycles,ARIIC,2018,55
Motorcycles,ARIIC,2019,146
Motorcycles,ARIIC,2020,130
Motorcycles,ARIIC,2021,89
Motorcycles,ARIIC,2022,61
Cars,ARO,2018,0
Cars,ARO,2019,0
Cars,ARO,2020,0
Cars,ARO,2021,0
Cars,ARO,2022,1
Light goods vehicles,ARO,2018,1
Light goods vehicles,ARO,2019,1
Light goods vehicles,ARO,2020,1
Light goods vehicles,ARO,2021,1
Light goods vehicles,ARO,2022,1
Buses and coaches,ARRIVAL,2018,0
Buses and coaches,ARRIVAL,2019,0
Buses and coaches,ARRIVAL,2020,0
Buses and coaches,ARRIVAL,2021,0
Buses and coaches,ARRIVAL,2022,1
Heavy goods vehicles,ARRIVAL,2018,0
Heavy goods vehicles,ARRIVAL,2019,0
Heavy goods vehicles,ARRIVAL,2020,0
Heavy goods vehicles,ARRIVAL,2021,3
Heavy goods vehicles,ARRIVAL,2022,7
Light goods vehicles,ARRIVAL,2018,0
Light goods vehicles,ARRIVAL,2019,0
Light goods vehicles,ARRIVAL,2020,0
Light goods vehicles,ARRIVAL,2021,0
Light goods vehicles,ARRIVAL,2022,4
Motorcycles,ARTISAN,2018,68
Motorcycles,ARTISAN,2019,100
Motorcycles,ARTISAN,2020,170
Motorcycles,ARTISAN,2021,254
Motorcycles,ARTISAN,2022,294
Other vehicles,ARTISAN,2018,0
Other vehicles,ARTISAN,2019,0
Other vehicles,ARTISAN,2020,1
Other vehicles,ARTISAN,2021,1
Other vehicles,ARTISAN,2022,1
Cars,ASIA,2018,0
Cars,ASIA,2019,0
Cars,ASIA,2020,1
Cars,ASIA,2021,0
Cars,ASIA,2022,0
Light goods vehicles,ASIA,2018,18
Light goods vehicles,ASIA,2019,19
Light goods vehicles,ASIA,2020,21
Light goods vehicles,ASIA,2021,13
Light goods vehicles,ASIA,2022,14
Motorcycles,ASKOLL,2018,0
Motorcycles,ASKOLL,2019,29
Motorcycles,ASKOLL,2020,41
Motorcycles,ASKOLL,2021,261
Motorcycles,ASKOLL,2022,416
Buses and coaches,ASQUITH,2018,1
Buses and coaches,ASQUITH,2019,1
Buses and coaches,ASQUITH,2020,0
Buses and coaches,ASQUITH,2021,1
Buses and coaches,ASQUITH,2022,1
Cars,ASQUITH,2018,0
Cars,ASQUITH,2019,1
Cars,ASQUITH,2020,0
Cars,ASQUITH,2021,0
Cars,ASQUITH,2022,0
Light goods vehicles,ASQUITH,2018,1
Light goods vehicles,ASQUITH,2019,1
Light goods vehicles,ASQUITH,2020,1
Light goods vehicles,ASQUITH,2021,1
Light goods vehicles,ASQUITH,2022,3
Other vehicles,ASQUITH,2018,1
Other vehicles,ASQUITH,2019,1
Other vehicles,ASQUITH,2020,1
Other vehicles,ASQUITH,2021,0
Other vehicles,ASQUITH,2022,0
Cars,ASTON MARTIN,2018,19595
Cars,ASTON MARTIN,2019,20681
Cars,ASTON MARTIN,2020,20424
Cars,ASTON MARTIN,2021,21240
Cars,ASTON MARTIN,2022,21720
Light goods vehicles,ASTON MARTIN,2018,5
Light goods vehicles,ASTON MARTIN,2019,4
Light goods vehicles,ASTON MARTIN,2020,56
Light goods vehicles,ASTON MARTIN,2021,65
Light goods vehicles,ASTON MARTIN,2022,59
Motorcycles,ASTON MARTIN,2018,2
Motorcycles,ASTON MARTIN,2019,2
Motorcycles,ASTON MARTIN,2020,2
Motorcycles,ASTON MARTIN,2021,2
Motorcycles,ASTON MARTIN,2022,2
Other vehicles,ASTON MARTIN,2018,23
Other vehicles,ASTON MARTIN,2019,24
Other vehicles,ASTON MARTIN,2020,25
Other vehicles,ASTON MARTIN,2021,22
Other vehicles,ASTON MARTIN,2022,22
Motorcycles,ATALA,2018,4
Motorcycles,ATALA,2019,2
Motorcycles,ATALA,2020,5
Motorcycles,ATALA,2021,7
Motorcycles,ATALA,2022,6
Buses and coaches,ATLAS,2018,1
Buses and coaches,ATLAS,2019,1
Buses and coaches,ATLAS,2020,0
Buses and coaches,ATLAS,2021,0
Buses and coaches,ATLAS,2022,0
Motorcycles,ATLAS,2018,1
Motorcycles,ATLAS,2019,2
Motorcycles,ATLAS,2020,2
Motorcycles,ATLAS,2021,3
Motorcycles,ATLAS,2022,1
Other vehicles,ATLAS,2018,39
Other vehicles,ATLAS,2019,39
Other vehicles,ATLAS,2020,39
Other vehicles,ATLAS,2021,40
Other vehicles,ATLAS,2022,38
Buses and coaches,AUDI,2018,3
Buses and coaches,AUDI,2019,3
Buses and coaches,AUDI,2020,2
Buses and coaches,AUDI,2021,4
Buses and coaches,AUDI,2022,4
Cars,AUDI,2018,1693486
Cars,AUDI,2019,1755681
Cars,AUDI,2020,1789790
Cars,AUDI,2021,1854057
Cars,AUDI,2022,1912892
Heavy goods vehicles,AUDI,2018,5
Heavy goods vehicles,AUDI,2019,4
Heavy goods vehicles,AUDI,2020,3
Heavy goods vehicles,AUDI,2021,2
Heavy goods vehicles,AUDI,2022,2
Light goods vehicles,AUDI,2018,98
Light goods vehicles,AUDI,2019,98
Light goods vehicles,AUDI,2020,89
Light goods vehicles,AUDI,2021,94
Light goods vehicles,AUDI,2022,100
Motorcycles,AUDI,2018,2
Motorcycles,AUDI,2019,2
Motorcycles,AUDI,2020,1
Motorcycles,AUDI,2021,3
Motorcycles,AUDI,2022,2
Other vehicles,AUDI,2018,23
Other vehicles,AUDI,2019,20
Other vehicles,AUDI,2020,19
Other vehicles,AUDI,2021,13
Other vehicles,AUDI,2022,15
Buses and coaches,AUSTIN,2018,62
Buses and coaches,AUSTIN,2019,60
Buses and coaches,AUSTIN,2020,58
Buses and coaches,AUSTIN,2021,57
Buses and coaches,AUSTIN,2022,59
Cars,AUSTIN,2018,27969
Cars,AUSTIN,2019,28115
Cars,AUSTIN,2020,27709
Cars,AUSTIN,2021,27929
Cars,AUSTIN,2022,27934
Heavy goods vehicles,AUSTIN,2018,69
Heavy goods vehicles,AUSTIN,2019,70
Heavy goods vehicles,AUSTIN,2020,65
Heavy goods vehicles,AUSTIN,2021,66
Heavy goods vehicles,AUSTIN,2022,67
Light goods vehicles,AUSTIN,2018,3471
Light goods vehicles,AUSTIN,2019,3514
Light goods vehicles,AUSTIN,2020,3532
Light goods vehicles,AUSTIN,2021,3549
Light goods vehicles,AUSTIN,2022,3574
Motorcycles,AUSTIN,2018,7
Motorcycles,AUSTIN,2019,7
Motorcycles,AUSTIN,2020,7
Motorcycles,AUSTIN,2021,8
Motorcycles,AUSTIN,2022,8
Other vehicles,AUSTIN,2018,618
Other vehicles,AUSTIN,2019,625
Other vehicles,AUSTIN,2020,610
Other vehicles,AUSTIN,2021,625
Other vehicles,AUSTIN,2022,631
Buses and coaches,AUSTIN HEALEY,2018,4
Buses and coaches,AUSTIN HEALEY,2019,0
Buses and coaches,AUSTIN HEALEY,2020,0
Buses and coaches,AUSTIN HEALEY,2021,0
Buses and coaches,AUSTIN HEALEY,2022,0
Cars,AUSTIN HEALEY,2018,3603
Cars,AUSTIN HEALEY,2019,3746
Cars,AUSTIN HEALEY,2020,3796
Cars,AUSTIN HEALEY,2021,3881
Cars,AUSTIN HEALEY,2022,3935
Light goods vehicles,AUSTIN HEALEY,2018,3
Light goods vehicles,AUSTIN HEALEY,2019,4
Light goods vehicles,AUSTIN HEALEY,2020,4
Light goods vehicles,AUSTIN HEALEY,2021,4
Light goods vehicles,AUSTIN HEALEY,2022,4
Motorcycles,AUSTIN HEALEY,2018,0
Motorcycles,AUSTIN HEALEY,2019,0
Motorcycles,AUSTIN HEALEY,2020,0
Motorcycles,AUSTIN HEALEY,2021,0
Motorcycles,AUSTIN HEALEY,2022,0
Other vehicles,AUSTIN HEALEY,2018,14
Other vehicles,AUSTIN HEALEY,2019,14
Other vehicles,AUSTIN HEALEY,2020,16
Other vehicles,AUSTIN HEALEY,2021,16
Other vehicles,AUSTIN HEALEY,2022,17
Buses and coaches,AUSTIN MORRIS,2018,7
Buses and coaches,AUSTIN MORRIS,2019,7
Buses and coaches,AUSTIN MORRIS,2020,7
Buses and coaches,AUSTIN MORRIS,2021,8
Buses and coaches,AUSTIN MORRIS,2022,7
Cars,AUSTIN MORRIS,2018,1257
Cars,AUSTIN MORRIS,2019,1202
Cars,AUSTIN MORRIS,2020,1456
Cars,AUSTIN MORRIS,2021,1858
Cars,AUSTIN MORRIS,2022,2217
Heavy goods vehicles,AUSTIN MORRIS,2018,2
Heavy goods vehicles,AUSTIN MORRIS,2019,2
Heavy goods vehicles,AUSTIN MORRIS,2020,2
Heavy goods vehicles,AUSTIN MORRIS,2021,2
Heavy goods vehicles,AUSTIN MORRIS,2022,1
Light goods vehicles,AUSTIN MORRIS,2018,347
Light goods vehicles,AUSTIN MORRIS,2019,370
Light goods vehicles,AUSTIN MORRIS,2020,398
Light goods vehicles,AUSTIN MORRIS,2021,488
Light goods vehicles,AUSTIN MORRIS,2022,559
Other vehicles,AUSTIN MORRIS,2018,7
Other vehicles,AUSTIN MORRIS,2019,5
Other vehicles,AUSTIN MORRIS,2020,7
Other vehicles,AUSTIN MORRIS,2021,8
Other vehicles,AUSTIN MORRIS,2022,8
Buses and coaches,AUTOSAN,2018,44
Buses and coaches,AUTOSAN,2019,44
Buses and coaches,AUTOSAN,2020,40
Buses and coaches,AUTOSAN,2021,35
Buses and coaches,AUTOSAN,2022,27
Heavy goods vehicles,AUTO-TRAIL,2018,1169
Heavy goods vehicles,AUTO-TRAIL,2019,1154
Heavy goods vehicles,AUTO-TRAIL,2020,1066
Heavy goods vehicles,AUTO-TRAIL,2021,1104
Heavy goods vehicles,AUTO-TRAIL,2022,1093
Light goods vehicles,AUTO-TRAIL,2018,1793
Light goods vehicles,AUTO-TRAIL,2019,1755
Light goods vehicles,AUTO-TRAIL,2020,1631
Light goods vehicles,AUTO-TRAIL,2021,1687
Light goods vehicles,AUTO-TRAIL,2022,1687
Cars,AVANTI,2018,3
Cars,AVANTI,2019,2
Cars,AVANTI,2020,2
Cars,AVANTI,2021,1
Cars,AVANTI,2022,1
Heavy goods vehicles,AVANTI,2018,1
Heavy goods vehicles,AVANTI,2019,1
Heavy goods vehicles,AVANTI,2020,1
Heavy goods vehicles,AVANTI,2021,1
Heavy goods vehicles,AVANTI,2022,0
Motorcycles,AVANTI,2018,1
Motorcycles,AVANTI,2019,1
Motorcycles,AVANTI,2020,2
Motorcycles,AVANTI,2021,1
Motorcycles,AVANTI,2022,2
Other vehicles,AVANTI,2018,3
Other vehicles,AVANTI,2019,3
Other vehicles,AVANTI,2020,2
Other vehicles,AVANTI,2021,2
Other vehicles,AVANTI,2022,2
Cars,AVELING BARFORD,2018,3
Cars,AVELING BARFORD,2019,3
Cars,AVELING BARFORD,2020,3
Cars,AVELING BARFORD,2021,3
Cars,AVELING BARFORD,2022,3
Heavy goods vehicles,AVELING BARFORD,2018,28
Heavy goods vehicles,AVELING BARFORD,2019,28
Heavy goods vehicles,AVELING BARFORD,2020,25
Heavy goods vehicles,AVELING BARFORD,2021,24
Heavy goods vehicles,AVELING BARFORD,2022,23
Light goods vehicles,AVELING BARFORD,2018,49
Light goods vehicles,AVELING BARFORD,2019,47
Light goods vehicles,AVELING BARFORD,2020,45
Light goods vehicles,AVELING BARFORD,2021,46
Light goods vehicles,AVELING BARFORD,2022,45
Other vehicles,AVELING BARFORD,2018,347
Other vehicles,AVELING BARFORD,2019,346
Other vehicles,AVELING BARFORD,2020,344
Other vehicles,AVELING BARFORD,2021,343
Other vehicles,AVELING BARFORD,2022,345
Heavy goods vehicles,AVIA,2018,31
