make,year,vehicle_numbers,vehicle_percentage_of_total
CIMOTORHOME,2018,2276,0.01%
CASE,2022,2270,0.01%
BOMAG,2021,2262,0.01%
BOMAG,2022,2258,0.01%
CIMOTORHOME,2019,2252,0.01%
GILERA,2022,2235,0.01%
LML,2020,2230,0.01%
OPEL,2022,2196,0.01%
BOMAG,2020,2194,0.01%
ERF,2018,2173,0.01%
CIMOTORHOME,2022,2159,0.01%
BENELLI,2019,2153,0.01%
CFMOTO,2020,2145,0.01%
CIMOTORHOME,2021,2143,0.01%
CCM,2022,2140,0.01%
CIMOTORHOME,2020,2131,0.01%
BETA,2019,2115,0.01%
NIU,2022,2109,0.01%
LML,2021,2062,0.01%
CCM,2021,2060,0.01%
FODEN,2019,2042,0.01%
RALEIGH,2021,2035,0.01%
LANCIA,2022,2029,0.00%
RALEIGH,2022,2025,0.00%
CCM,2020,2023,0.01%
CHAUSSON,2022,2007,0.00%
CADILLAC,2018,2001,0.01%
WACKER NEUSON,2021,1998,0.00%
RALEIGH,2020,1995,0.01%
MCLAREN,2018,1980,0.01%
DAF,2020,1975,0.00%
INDIAN,2019,1953,0.00%
BETA,2018,1947,0.00%
ERF,2019,1947,0.00%
RALEIGH,2019,1944,0.00%
CADILLAC,2019,1936,0.00%
LANCIA,2021,1929,0.00%
MUTT,2020,1915,0.00%
HYOSUNG,2018,1911,0.00%
RALEIGH,2018,1901,0.00%
QINGQI,2019,1893,0.00%
ZONTES,2021,1891,0.00%
CFMOTO,2019,1876,0.00%
LANCIA,2020,1874,0.00%
AUSTIN MORRIS,2020,1870,0.00%
LANCIA,2019,1863,0.00%
CADILLAC,2020,1861,0.00%
LML,2022,1860,0.00%
HUMBER,2019,1853,0.00%
IRISBUS,2018,1852,0.00%
HUMBER,2021,1847,0.00%
CHAUSSON,2021,1846,0.00%
HUMBER,2022,1839,0.00%
DAF,2021,1838,0.00%
HUMBER,2020,1838,0.00%
PULSE,2018,1813,0.00%
LANDINI,2020,1806,0.00%
MV AGUSTA,2021,1806,0.00%
MV AGUSTA,2020,1805,0.00%
HUMBER,2018,1803,0.00%
LANDINI,2018,1803,0.00%
CADILLAC,2021,1802,0.00%
MV AGUSTA,2022,1802,0.00%
CCM,2019,1800,0.00%
LANDINI,2019,1800,0.00%
LANDINI,2021,1800,0.00%
DOUGLAS,2018,1780,0.00%
LANCIA,2018,1780,0.00%
DOUGLAS,2019,1777,0.00%
LANDINI,2022,1770,0.00%
DOUGLAS,2021,1762,0.00%
GREAT WALL,2018,1762,0.00%
MV AGUSTA,2019,1758,0.00%
CADILLAC,2022,1757,0.00%
DOUGLAS,2020,1757,0.00%
ISEKI,2022,1755,0.00%
MV AGUSTA,2018,1752,0.00%
DOUGLAS,2022,1740,0.00%
LEYLAND CARS,2022,1740,0.00%
LONGJIA,2018,1725,0.00%
IRISBUS,2019,1714,0.00%
CFMOTO,2018,1708,0.00%
TAIWAN GOLDEN BEE,2018,1700,0.00%
HYMER,2022,1694,0.00%
GREAT WALL,2019,1682,0.00%
NIU,2021,1676,0.00%
WK BIKES,2022,1672,0.00%
ISEKI,2021,1670,0.00%
LEYLAND CARS,2021,1670,0.00%
OTHER US/AUST/CAN,2019,1651,0.00%
OTHER US/AUST/CAN,2018,1636,0.00%
HYMER,2021,1630,0.00%
HYOSUNG,2019,1627,0.00%
OTHER US/AUST/CAN,2020,1626,0.00%
OTHER US/AUST/CAN,2021,1624,0.00%
AUSTIN MORRIS,2018,1620,0.00%
OTHER US/AUST/CAN,2022,1610,0.00%
BRP,2022,1609,0.00%
JAMES,2020,1609,0.00%
JAMES,2021,1607,0.00%
JAMES,2022,1603,0.00%
GREAT WALL,2020,1600,0.00%
CHAUSSON,2020,1596,0.00%
FODEN,2021,1593,0.00%
DAF,2022,1592,0.00%
AUSTIN MORRIS,2019,1586,0.00%
JAMES,2018,1586,0.00%
JAMES,2019,1583,0.00%
LEYLAND CARS,2020,1575,0.00%
SINGER,2021,1565,0.00%
MZ,2022,1561,0.00%
FODEN,2020,1556,0.00%
ISEKI,2020,1547,0.00%
SINGER,2019,1544,0.00%
QINGQI,2020,1543,0.00%
SINGER,2022,1542,0.00%
GAS GAS,2022,1541,0.00%
MZ,2021,1541,0.00%
BENELLI,2018,1535,0.00%
SINGER,2020,1533,0.00%
NECO,2022,1531,0.00%
CCM,2018,1526,0.00%
HYOSUNG,2020,1524,0.00%
MZ,2020,1522,0.00%
SINGER,2018,1516,0.00%
GREAT WALL,2021,1512,0.00%
MECALAC,2022,1505,0.00%
NSU,2022,1492,0.00%
MZ,2018,1488,0.00%
NSU,2021,1487,0.00%
FODEN,2022,1485,0.00%
MZ,2019,1485,0.00%
ISEKI,2019,1474,0.00%
INDIAN,2018,1473,0.00%
NSU,2020,1469,0.00%
MATBRO,2018,1468,0.00%
ZNEN,2018,1464,0.00%
ERF,2022,1463,0.00%
DERBI,2018,1459,0.00%
ERF,2021,1458,0.00%
ZONTES,2018,1457,0.00%
LEYLAND CARS,2019,1455,0.00%
SCOMADI,2019,1455,0.00%
HYOSUNG,2021,1442,0.00%
MATBRO,2019,1441,0.00%
HYMER,2020,1437,0.00%
MARSHALL,2019,1437,0.00%
IRISBUS,2020,1428,0.00%
MARSHALL,2018,1425,0.00%
GREAT WALL,2022,1423,0.00%
NSU,2019,1423,0.00%
MUTT,2019,1422,0.00%
CHAUSSON,2019,1420,0.00%
JENSEN,2022,1419,0.00%
MARSHALL,2022,1417,0.00%
MARSHALL,2020,1416,0.00%
ISEKI,2018,1414,0.00%
NSU,2018,1414,0.00%
SCOMADI,2018,1414,0.00%
HYMER,2019,1412,0.00%
MARSHALL,2021,1409,0.00%
NECO,2021,1398,0.00%
BULLIT,2021,1392,0.00%
MECALAC,2021,1387,0.00%
JENSEN,2021,1385,0.00%
MATBRO,2020,1383,0.00%
TAIWAN GOLDEN BEE,2019,1379,0.00%
SCOMADI,2020,1368,0.00%
LIEBHERR,2022,1366,0.00%
HYOSUNG,2022,1360,0.00%
PULSE,2019,1360,0.00%
WK BIKES,2021,1357,0.00%
MATBRO,2021,1347,0.00%
PUCH,2022,1344,0.00%
JENSEN,2020,1336,0.00%
JENSEN,2019,1331,0.00%
ERF,2020,1325,0.00%
SCOMADI,2021,1320,0.00%
WACKER NEUSON,2020,1314,0.00%
ZONTES,2019,1313,0.00%
ZONTES,2020,1313,0.00%
LIEBHERR,2021,1309,0.00%
MATBRO,2022,1309,0.00%
CHAUSSON,2018,1306,0.00%
DERBI,2019,1304,0.00%
GAS GAS,2021,1303,0.00%
VICTORY,2018,1298,0.00%
BULLIT,2022,1296,0.00%
PUCH,2021,1294,0.00%
PONTIAC,2021,1292,0.00%
QINGQI,2021,1291,0.00%
IRISBUS,2021,1286,0.00%
LEYLAND CARS,2018,1285,0.00%
LONGJIA,2019,1282,0.00%
PONTIAC,2022,1280,0.00%
ROYAL ALLOY,2019,1269,0.00%
JENSEN,2018,1258,0.00%
MOTORINI,2022,1258,0.00%
HYMER,2018,1250,0.00%
RIEJU,2018,1245,0.00%
BUELL,2018,1239,0.00%
MOTORINI,2021,1237,0.00%
PONTIAC,2020,1231,0.00%
TAIWAN GOLDEN BEE,2020,1229,0.00%
KSR MOTO,2018,1227,0.00%
PUCH,2020,1224,0.00%
SCOMADI,2022,1223,0.00%
PONTIAC,2019,1211,0.00%
DERBI,2020,1208,0.00%
VICTORY,2019,1205,0.00%
BRP,2021,1199,0.00%
LIEBHERR,2020,1194,0.00%
LIEBHERR,2019,1193,0.00%
ZNEN,2019,1189,0.00%
LEVC,2018,1184,0.00%
MICROCAR,2018,1180,0.00%
TERBERG,2022,1178,0.00%
VICTORY,2020,1171,0.00%
WACKER NEUSON,2019,1167,0.00%
IRISBUS,2022,1157,0.00%
BUELL,2019,1155,0.00%
AIXAM,2018,1150,0.00%
PONTIAC,2018,1150,0.00%
OTHER GERMAN,2018,1147,0.00%
PANTHER,2022,1146,0.00%
OTHER GERMAN,2019,1139,0.00%
KIOTI,2022,1132,0.00%
LONGJIA,2020,1129,0.00%
PANTHER,2021,1129,0.00%
RIEJU,2021,1129,0.00%
LIEBHERR,2018,1128,0.00%
NECO,2020,1123,0.00%
X-BOW,2019,1120,0.00%
GENESIS,2022,1119,0.00%
DERBI,2021,1118,0.00%
PULSE,2020,1118,0.00%
MOTORINI,2020,1117,0.00%
VICTORY,2021,1116,0.00%
PANTHER,2020,1111,0.00%
PANTHER,2019,1106,0.00%
PUCH,2019,1101,0.00%
VICTORY,2022,1100,0.00%
OTHER GERMAN,2021,1099,0.00%
OTHER GERMAN,2020,1098,0.00%
RIEJU,2020,1098,0.00%
KSR MOTO,2019,1092,0.00%
ZNEN,2020,1089,0.00%
BUELL,2020,1081,0.00%
PANTHER,2018,1080,0.00%
RIEJU,2019,1078,0.00%
RIEJU,2022,1075,0.00%
OTHER GERMAN,2022,1073,0.00%
X-BOW,2020,1071,0.00%
X-BOW,2018,1070,0.00%
MICROCAR,2019,1065,0.00%
WK BIKES,2018,1060,0.00%
KIOTI,2021,1056,0.00%
X-BOW,2021,1055,0.00%
PUCH,2018,1049,0.00%
BRISTOL (BLMC),2022,1046,0.00%
BYD,2022,1042,0.00%
TAIWAN GOLDEN BEE,2021,1039,0.00%
JOHNSTON SWEEPERS,2018,1036,0.00%
BUELL,2021,1033,0.00%
BULLIT,2020,1031,0.00%
TORO,2022,1031,0.00%
BRISTOL (BLMC),2019,1030,0.00%
JOHNSTON SWEEPERS,2019,1029,0.00%
DATSUN,2022,1028,0.00%
VALMET,2018,1026,0.00%
MECALAC,2019,1024,0.00%
AIXAM,2019,1021,0.00%
X-BOW,2022,1018,0.00%
FANTIC MOTOR,2022,1017,0.00%
MUTT,2018,1017,0.00%
TRIGANO,2019,1015,0.00%
BRISTOL (BLMC),2021,1011,0.00%
VDL,2022,1010,0.00%
KSR MOTO,2020,1008,0.00%
VDL,2019,1008,0.00%
TRIGANO,2018,1007,0.00%
WK BIKES,2020,1005,0.00%
BAOTIAN,2018,1003,0.00%
BENFORD,2018,1000,0.00%
KIOTI,2018,998,0.00%
BRISTOL (BLMC),2018,994,0.00%
GAS GAS,2018,993,0.00%
VALMET,2019,992,0.00%
MOFFETT,2022,988,0.00%
KIOTI,2020,987,0.00%
LONGJIA,2021,987,0.00%
TRIGANO,2021,987,0.00%
VDL,2021,987,0.00%
BRISTOL (BLMC),2020,986,0.00%
QINGQI,2022,985,0.00%
COMMER,2019,983,0.00%
KIOTI,2019,983,0.00%
TRIGANO,2022,983,0.00%
GAS GAS,2019,982,0.00%
BENFORD,2019,980,0.00%
DATSUN,2021,977,0.00%
GAS GAS,2020,976,0.00%
OTHER ELECTRIC,2018,976,0.00%
MOBYLETTE,2022,975,0.00%
BUELL,2022,970,0.00%
JOHNSTON SWEEPERS,2020,967,0.00%
VALMET,2020,967,0.00%
TRIGANO,2020,965,0.00%
COMMER,2018,963,0.00%
COMMER,2020,961,0.00%
DERBI,2022,961,0.00%
COMMER,2022,956,0.00%
MOBYLETTE,2021,955,0.00%
COMMER,2021,953,0.00%
VDL,2018,950,0.00%
MICROCAR,2020,947,0.00%
WESTFIELD,2018,945,0.00%
VALMET,2021,940,0.00%
MOBYLETTE,2020,931,0.00%
TERBERG,2021,927,0.00%
VALMET,2022,926,0.00%
WESTFIELD,2019,921,0.00%
OTHER ELECTRIC,2019,919,0.00%
AIXAM,2020,915,0.00%
DAELIM,2018,914,0.00%
DATSUN,2020,911,0.00%
CAETANO,2022,910,0.00%
MASH,2022,906,0.00%
BENFORD,2020,905,0.00%
MECALAC,2020,900,0.00%
GENERIC,2018,889,0.00%
SHERCO,2022,888,0.00%
BENFORD,2021,885,0.00%
WK BIKES,2019,883,0.00%
ADRIA,2022,882,0.00%
NECO,2019,873,0.00%
HERALD MOTOR COMPANY,2018,870,0.00%
NIU,2020,863,0.00%
VMOTO,2020,862,0.00%
KSR MOTO,2021,859,0.00%
MASH,2021,858,0.00%
OTHER ELECTRIC,2020,858,0.00%
TORO,2021,858,0.00%
DATSUN,2019,855,0.00%
LAVERDA,2022,855,0.00%
BENFORD,2022,854,0.00%
CAETANO,2021,852,0.00%
MOBYLETTE,2019,849,0.00%
FANTIC MOTOR,2021,842,0.00%
VDL,2020,841,0.00%
CAETANO,2019,838,0.00%
POLESTAR,2020,838,0.00%
HERALD,2022,835,0.00%
ZNEN,2021,835,0.00%
MICROCAR,2021,834,0.00%
PULSE,2021,834,0.00%
TAIWAN GOLDEN BEE,2022,833,0.00%
AIXAM,2021,828,0.00%
HINO,2018,828,0.00%
MOBYLETTE,2018,826,0.00%
OTHER ELECTRIC,2021,824,0.00%
JOHNSTON SWEEPERS,2021,816,0.00%
SHERCO,2021,816,0.00%
WESTFIELD,2020,811,0.00%
WESTFIELD,2021,809,0.00%
ALPINE,2022,794,0.00%
TERBERG,2020,793,0.00%
LEYLAND AEC,2019,792,0.00%
LONGJIA,2022,792,0.00%
MOTORINI,2019,790,0.00%
OTHER ELECTRIC,2022,788,0.00%
ADRIA,2021,784,0.00%
BUICK,2022,783,0.00%
MOFFETT,2021,783,0.00%
HERALD MOTOR COMPANY,2019,779,0.00%
BUICK,2021,778,0.00%
WESTFIELD,2022,773,0.00%
BAOTIAN,2019,771,0.00%
BUICK,2020,768,0.00%
LEYLAND AEC,2022,767,0.00%
SKYTEAM,2018,767,0.00%
LEYLAND AEC,2018,765,0.00%
MOTORINI,2018,762,0.00%
BUICK,2019,761,0.00%
BUICK,2018,760,0.00%
DATSUN,2018,758,0.00%
LAVERDA,2021,757,0.00%
NECO,2018,753,0.00%
BRP,2020,751,0.00%
CAETANO,2018,749,0.00%
DETHLEFFS,2022,747,0.00%
TORO,2020,746,0.00%
AIXAM,2022,742,0.00%
COUNTY COMM CARS,2019,741,0.00%
LIFAN,2018,740,0.00%
YUTONG,2022,740,0.00%
HERALD,2021,739,0.00%
COUNTY COMM CARS,2018,737,0.00%
DAELIM,2019,735,0.00%
LEYLAND AEC,2021,733,0.00%
COUNTY COMM CARS,2020,732,0.00%
MICROCAR,2022,730,0.00%
COUNTY COMM CARS,2021,729,0.00%
MONDIAL,2022,729,0.00%
WACKER NEUSON,2018,719,0.00%
BOVA,2018,716,0.00%
COUNTY COMM CARS,2022,716,0.00%
CAETANO,2020,713,0.00%
HYSTER,2022,710,0.00%
ROYAL ALLOY,2018,710,0.00%
HERALD MOTOR COMPANY,2021,700,0.00%
DETHLEFFS,2021,699,0.00%
JOHNSTON SWEEPERS,2022,699,0.00%
HERALD MOTOR COMPANY,2020,691,0.00%
HYSTER,2019,691,0.00%
SMC,2018,691,0.00%
ZNEN,2022,691,0.00%
LAVERDA,2020,688,0.00%
HYSTER,2021,687,0.00%
LEYLAND AEC,2020,685,0.00%
MASH,2020,682,0.00%
VAN HOOL,2019,681,0.00%
SHERCO,2020,678,0.00%
OTHER FRENCH,2018,677,0.00%
SCHMIDT,2022,677,0.00%
WEIDEMANN,2022,677,0.00%
SMC,2020,676,0.00%
BOVA,2019,675,0.00%
BOND,2022,673,0.00%
GENERIC,2019,672,0.00%
SUR-RON,2022,672,0.00%
HYSTER,2020,669,0.00%
KSR MOTO,2022,669,0.00%
SCHMIDT,2021,667,0.00%
BOND,2021,666,0.00%
PULSE,2022,666,0.00%
SKYTEAM,2019,665,0.00%
DAELIM,2020,664,0.00%
VAN HOOL,2022,664,0.00%
PIONEER,2018,663,0.00%
SCAMMELL,2018,662,0.00%
MGB,2022,658,0.00%
HYSTER,2018,655,0.00%
OTHER FRENCH,2019,654,0.00%
SCAMMELL,2019,654,0.00%
SCHMIDT,2019,652,0.00%
BOND,2020,650,0.00%
OTHER FRENCH,2020,648,0.00%
VAN HOOL,2018,648,0.00%
MOFFETT,2020,647,0.00%
OTHER FRENCH,2021,645,0.00%
VANDEN PLAS,2022,644,0.00%
LINCOLN,2019,643,0.00%
COLEMAN MILNE,2022,642,0.00%
HINO,2019,641,0.00%
LINCOLN,2018,640,0.00%
LIFAN,2019,637,0.00%
SKYTEAM,2020,637,0.00%
HERALD MOTOR COMPANY,2022,635,0.00%
LAVERDA,2019,635,0.00%
VAN HOOL,2021,635,0.00%
SCHMIDT,2020,634,0.00%
TERBERG,2019,634,0.00%
BOND,2019,633,0.00%
SCHMIDT,2018,631,0.00%
HANWAY,2020,630,0.00%
OTHER WEST EUROPEAN,2021,630,0.00%
SCAMMELL,2020,627,0.00%
OTHER WEST EUROPEAN,2019,626,0.00%
OTHER FRENCH,2022,625,0.00%
QUADZILLA,2018,625,0.00%
SMC,2019,625,0.00%
VANDEN PLAS,2020,622,0.00%
ZERO,2022,619,0.00%
BOND,2018,618,0.00%
VANDEN PLAS,2019,617,0.00%
YUTONG,2021,617,0.00%
OTHER WEST EUROPEAN,2022,616,0.00%
SCAMMELL,2021,616,0.00%
VANDEN PLAS,2021,616,0.00%
OTHER WEST EUROPEAN,2018,614,0.00%
BAOTIAN,2020,613,0.00%
SKYTEAM,2021,613,0.00%
OTHER WEST EUROPEAN,2020,609,0.00%
CAGIVA,2018,608,0.00%
HANWAY,2021,607,0.00%
NEOPLAN,2018,607,0.00%
SCAMMELL,2022,607,0.00%
TORO,2019,604,0.00%
LINCOLN,2021,603,0.00%
WEIDEMANN,2021,601,0.00%
LINCOLN,2022,599,0.00%
LAVERDA,2018,598,0.00%
MECALAC,2018,597,0.00%
HANWAY,2019,595,0.00%
VANDEN PLAS,2018,594,0.00%
MASH,2019,593,0.00%
SKYTEAM,2022,591,0.00%
BYD,2021,587,0.00%
NEOPLAN,2019,586,0.00%
BULLIT,2019,583,0.00%
MONDIAL,2021,578,0.00%
PILOTE,2022,578,0.00%
COLEMAN MILNE,2021,577,0.00%
SMC,2021,576,0.00%
WANGYE,2021,572,0.00%
DETHLEFFS,2020,568,0.00%
GENERIC,2020,566,0.00%
CAGIVA,2019,565,0.00%
PIONEER,2019,565,0.00%
FANTIC MOTOR,2020,563,0.00%
LIFAN,2020,561,0.00%
ALPINE,2021,560,0.00%
QUADZILLA,2019,559,0.00%
MOFFETT,2019,556,0.00%
DAELIM,2021,554,0.00%
HANWAY,2018,552,0.00%
SHERCO,2019,548,0.00%
LINCOLN,2020,540,0.00%
NEOPLAN,2022,532,0.00%
CAGIVA,2020,527,0.00%
RAPIDO,2022,525,0.00%
VMOTO,2019,522,0.00%
BURSTNER,2022,520,0.00%
COLEMAN MILNE,2020,519,0.00%
TGB,2022,517,0.00%
HANWAY,2022,516,0.00%
HERALD,2020,515,0.00%
BAOTIAN,2021,513,0.00%
IRIZAR,2022,511,0.00%
NEW HOLLAND (FIAT),2018,510,0.00%
QUADZILLA,2020,510,0.00%
SUR-RON,2021,509,0.00%
SMC,2022,508,0.00%
NEW HOLLAND (FIAT),2019,504,0.00%
CAGIVA,2021,503,0.00%
NEOPLAN,2021,503,0.00%
HINO,2020,501,0.00%
NEW HOLLAND (FIAT),2022,501,0.00%
PIONEER,2020,501,0.00%
BURSTNER,2021,498,0.00%
MONDIAL,2020,498,0.00%
TERBERG,2018,498,0.00%
ZERO,2021,498,0.00%
NEW HOLLAND (FIAT),2020,497,0.00%
SHERCO,2018,497,0.00%
WEIDEMANN,2020,497,0.00%
NEW HOLLAND (FIAT),2021,495,0.00%
WHITE KNUCKLE,2018,488,0.00%
YAMASAKI,2022,488,0.00%
BOVA,2021,482,0.00%
BULTACO,2022,482,0.00%
SEDDON/ATKINSON,2018,481,0.00%
SETRA,2018,474,0.00%
RAPIDO,2021,472,0.00%
EASY RIDER,2018,469,0.00%
DETHLEFFS,2019,466,0.00%
VAN HOOL,2020,465,0.00%
MASH,2018,464,0.00%
BULTACO,2021,462,0.00%
SETRA,2019,462,0.00%
CAGIVA,2022,460,0.00%
QUADZILLA,2021,460,0.00%
YADEA,2022,455,0.00%
PLYMOUTH,2022,454,0.00%
ADRIA,2020,453,0.00%
BULLIT,2018,453,0.00%
PIONEER,2021,453,0.00%
BOVA,2022,451,0.00%
LIFAN,2021,451,0.00%
UM,2020,450,0.00%
IRIZAR,2021,449,0.00%
DAELIM,2022,448,0.00%
GENERIC,2021,447,0.00%
BOVA,2020,444,0.00%
WANGYE,2022,444,0.00%
DFSK,2018,443,0.00%
DFSK,2022,442,0.00%
YUTONG,2019,441,0.00%
DFSK,2021,439,0.00%
PLYMOUTH,2021,438,0.00%
SEDDON/ATKINSON,2019,438,0.00%
AVELING BARFORD,2018,427,0.00%
COLEMAN MILNE,2019,427,0.00%
PILOTE,2021,427,0.00%
DFSK,2019,426,0.00%
AVELING BARFORD,2019,424,0.00%
YALE,2019,421,0.00%
EASY RIDER,2021,420,0.00%
IRIZAR,2019,420,0.00%
ALBION,2018,418,0.00%
YUTONG,2020,418,0.00%
ALBION,2019,417,0.00%
AVELING BARFORD,2020,417,0.00%
DFSK,2020,417,0.00%
ASKOLL,2022,416,0.00%
AVELING BARFORD,2021,416,0.00%
AVELING BARFORD,2022,416,0.00%
TORO,2018,415,0.00%
PLYMOUTH,2020,414,0.00%
JAWA,2021,413,0.00%
TRANSBUS INT,2018,413,0.00%
UM,2019,413,0.00%
HINO,2021,412,0.00%
HUONIAO,2018,411,0.00%
CPI,2018,410,0.00%
BULTACO,2020,409,0.00%
HUSABERG,2018,409,0.00%
SEDDON/ATKINSON,2020,407,0.00%
MONDIAL,2019,406,0.00%
MERCURY,2019,405,0.00%
E-MAX,2022,403,0.00%
FANTIC MOTOR,2019,403,0.00%
ALBION,2022,402,0.00%
ALBION,2020,401,0.00%
UM,2021,401,0.00%
EASY RIDER,2019,399,0.00%
MERCURY,2021,397,0.00%
NIU,2019,396,0.00%
TRANSBUS INT,2019,396,0.00%
YALE,2018,396,0.00%
YALE,2020,394,0.00%
JAWA,2022,393,0.00%
PLYMOUTH,2019,391,0.00%
ALBION,2021,389,0.00%
JAWA,2020,389,0.00%
TAFE,2022,389,0.00%
PIONEER,2022,388,0.00%
SEDDON/ATKINSON,2022,388,0.00%
TAFE,2021,388,0.00%
UM,2022,388,0.00%
BOB CAT,2022,387,0.00%
MERCURY,2022,387,0.00%
MERCURY,2020,386,0.00%
QUADZILLA,2022,385,0.00%
TGB,2021,384,0.00%
SEDDON/ATKINSON,2021,382,0.00%
LIFAN,2022,381,0.00%
KNAUS,2022,379,0.00%
CZ,2022,376,0.00%
KOMATSU,2019,376,0.00%
CARBODIES,2018,375,0.00%
YALE,2021,375,0.00%
RAPIDO,2020,374,0.00%
JAWA,2019,373,0.00%
MERCURY,2018,373,0.00%
PLYMOUTH,2018,372,0.00%
SETRA,2022,370,0.00%
WEIDEMANN,2019,370,0.00%
BULTACO,2019,369,0.00%
TAFE,2020,368,0.00%
TEREX,2019,367,0.00%
ALPINE,2020,366,0.00%
JAWA,2018,366,0.00%
IRIZAR,2018,365,0.00%
EASY RIDER,2022,364,0.00%
UNIVERSAL,2018,364,0.00%
BAOTIAN,2022,363,0.00%
CZ,2021,363,0.00%
YALE,2022,363,0.00%
EASY RIDER,2020,362,0.00%
HUSABERG,2019,362,0.00%
KOMATSU,2020,355,0.00%
OLDSMOBILE,2021,352,0.00%
WANGYE,2020,352,0.00%
TRANSBUS INT,2020,351,0.00%
ZERO,2020,349,0.00%
KNAUS,2021,347,0.00%
YUTONG,2018,346,0.00%
KOMATSU,2021,345,0.00%
TAFE,2019,345,0.00%
GENERIC,2022,344,0.00%
CZ,2020,343,0.00%
HORWIN,2022,343,0.00%
SETRA,2021,343,0.00%
BELARUS,2018,341,0.00%
OLDSMOBILE,2020,341,0.00%
WHITE KNUCKLE,2019,341,0.00%
BEELINE,2018,340,0.00%
OLDSMOBILE,2019,340,0.00%
OLDSMOBILE,2022,339,0.00%
IRIZAR,2020,338,0.00%
KOMATSU,2018,338,0.00%
TEREX,2018,338,0.00%
NEOPLAN,2020,337,0.00%
UNIVERSAL,2019,337,0.00%
BOB CAT,2021,336,0.00%
TAFE,2018,334,0.00%
JINLUN,2018,332,0.00%
MOBILVETTA,2022,332,0.00%
OLDSMOBILE,2018,330,0.00%
MOBILVETTA,2021,329,0.00%
MOTO MORINI,2022,329,0.00%
HUONIAO,2019,327,0.00%
VELOSOLEX,2021,325,0.00%
BMC,2018,324,0.00%
BULTACO,2018,324,0.00%
HINO,2022,324,0.00%
SCARAB,2022,323,0.00%
KOMATSU,2022,322,0.00%
LHY,2021,322,0.00%
SCARAB,2021,322,0.00%
JONWAY,2018,320,0.00%
LHY,2022,319,0.00%
DETHLEFFS,2018,317,0.00%
BELARUS,2019,316,0.00%
BELARUS,2022,316,0.00%
GARELLI,2021,314,0.00%
HUSABERG,2021,314,0.00%
CARBODIES,2019,313,0.00%
SIROMER,2022,313,0.00%
UNIVERSAL,2020,313,0.00%
VELOSOLEX,2022,312,0.00%
COLEMAN MILNE,2018,311,0.00%
GARELLI,2022,311,0.00%
SIROMER,2021,310,0.00%
CZ,2019,309,0.00%
HUSABERG,2020,308,0.00%
PGO,2018,308,0.00%
SCARAB,2020,308,0.00%
VELOSOLEX,2020,308,0.00%
BELARUS,2020,307,0.00%
BELARUS,2021,307,0.00%
CPI,2019,307,0.00%
TRANSBUS INT,2021,304,0.00%
UNIVERSAL,2021,302,0.00%
RAPIDO,2019,299,0.00%
SMITHS,2018,299,0.00%
BOB CAT,2020,298,0.00%
BRP,2019,297,0.00%
SCARAB,2019,297,0.00%
BLUROC,2022,296,0.00%
ADRIA,2019,295,0.00%
ARTISAN,2022,295,0.00%
REVA,2018,295,0.00%
SWM,2020,295,0.00%
MONTESA,2022,294,0.00%
REWACO,2022,294,0.00%
SWM,2021,292,0.00%
BMC,2019,291,0.00%
MOFFETT,2018,291,0.00%
UNIVERSAL,2022,291,0.00%
METROCAB,2018,290,0.00%
MONDIAL,2018,290,0.00%
WHITE KNUCKLE,2020,290,0.00%
BRIXTON,2020,289,0.00%
BURSTNER,2020,289,0.00%
GARELLI,2020,289,0.00%
KNAUS,2020,289,0.00%
ALPINE,2019,287,0.00%
DIECI,2022,287,0.00%
ALPINA,2019,286,0.00%
ALPINA,2018,283,0.00%
MUIR-HILL,2019,283,0.00%
CZ,2018,282,0.00%
TYM,2021,282,0.00%
HONLEY,2018,281,0.00%
TEMSA,2022,281,0.00%
DIECI,2021,279,0.00%
HUMMER,2019,279,0.00%
REWACO,2021,279,0.00%
TYM,2022,278,0.00%
HUMMER,2018,277,0.00%
HUMMER,2021,277,0.00%
HSUN,2022,276,0.00%
ITALJET,2022,276,0.00%
SIROMER,2020,276,0.00%
ALPINA,2020,275,0.00%
MUIR-HILL,2018,275,0.00%
WEIDEMANN,2018,275,0.00%
ARIEL,2022,274,0.00%
CPI,2020,274,0.00%
HUSABERG,2022,274,0.00%
OTHER/COMMERCIAL/THORNEYCROFT,2018,274,0.00%
TEREX,2021,274,0.00%
BAJAJ,2021,273,0.00%
KNAUS,2019,273,0.00%
SUPERBYKE,2018,273,0.00%
OTHER/COMMERCIAL/THORNEYCROFT,2019,272,0.00%
ALPINA,2021,271,0.00%
ALPINA,2022,271,0.00%
TEREX,2020,271,0.00%
TYM,2020,271,0.00%
TEMSA,2019,270,0.00%
GARELLI,2019,269,0.00%
PILOTE,2020,269,0.00%
DINLI,2018,268,0.00%
MUIR-HILL,2022,268,0.00%
BOB CAT,2019,267,0.00%
HUMMER,2022,267,0.00%
MUIR-HILL,2021,267,0.00%
BAJAJ,2022,266,0.00%
TEREX,2022,266,0.00%
COVENTRY CLIMAX,2018,265,0.00%
SACHS,2018,265,0.00%
TYM,2019,265,0.00%
BRIXTON,2021,263,0.00%
DIECI,2020,263,0.00%
MUIR-HILL,2020,263,0.00%
SEGWAY,2022,263,0.00%
TEMSA,2021,262,0.00%
ASKOLL,2021,261,0.00%
SUR-RON,2020,261,0.00%
VELOSOLEX,2019,261,0.00%
BAJAJ,2020,260,0.00%
