make,year,vehicle_numbers,vehicle_percentage_of_total
TRIUMPH,2019,140280,0.35%
DAF TRUCKS,2022,140141,0.34%
DACIA,2018,136671,0.35%
DAF TRUCKS,2021,136130,0.34%
TRIUMPH,2018,135118,0.34%
TESLA,2022,134888,0.33%
DAF TRUCKS,2019,132212,0.33%
DAF TRUCKS,2020,130690,0.33%
DAF TRUCKS,2018,129530,0.33%
MG,2020,120929,0.30%
MG,2019,106961,0.27%
SAAB,2018,106512,0.27%
CHEVROLET,2018,103466,0.26%
MG,2018,98477,0.25%
SMART,2019,97212,0.24%
KAWASAKI,2021,96575,0.24%
KAWASAKI,2022,96425,0.24%
SMART,2018,96027,0.24%
CHEVROLET,2019,94638,0.24%
SMART,2020,94595,0.24%
KAWASAKI,2020,94248,0.24%
SMART,2021,93452,0.23%
KAWASAKI,2019,93090,0.23%
SMART,2022,92510,0.23%
KAWASAKI,2018,91709,0.23%
SAAB,2019,91651,0.23%
IVECO,2018,91517,0.23%
IVECO,2022,89653,0.22%
ALFA ROMEO,2018,88852,0.23%
IVECO,2019,88731,0.22%
IVECO,2021,88680,0.22%
ALFA ROMEO,2019,86502,0.22%
CHEVROLET,2020,86273,0.22%
IVECO,2020,85306,0.21%
JEEP,2021,84672,0.21%
JEEP,2019,84219,0.21%
JEEP,2020,84206,0.21%
ROVER,2018,83938,0.21%
JEEP,2018,83482,0.21%
ALFA ROMEO,2020,83252,0.21%
TESLA,2021,82801,0.21%
JEEP,2022,82619,0.20%
JOHN DEERE,2022,82001,0.20%
MASSEY FERGUSON,2022,81461,0.20%
ALFA ROMEO,2021,81243,0.20%
MASSEY FERGUSON,2021,81223,0.20%
JOHN DEERE,2021,80658,0.20%
MASSEY FERGUSON,2020,80483,0.20%
MASSEY FERGUSON,2019,79938,0.20%
SAAB,2020,79560,0.20%
MASSEY FERGUSON,2018,79031,0.20%
ALFA ROMEO,2022,78611,0.19%
JOHN DEERE,2020,78478,0.20%
CHEVROLET,2021,77596,0.19%
JOHN DEERE,2019,77434,0.19%
JOHN DEERE,2018,75697,0.19%
SCANIA,2022,72951,0.18%
SUBARU,2018,72714,0.18%
SCANIA,2021,72206,0.18%
JCB,2022,72068,0.18%
CHEVROLET,2022,70286,0.17%
JCB,2021,70243,0.17%
SCANIA,2020,69908,0.18%
SUBARU,2019,69763,0.17%
SCANIA,2019,69696,0.17%
SAAB,2021,68699,0.17%
JCB,2019,68541,0.17%
ROVER,2019,67770,0.17%
SCANIA,2018,67665,0.17%
JCB,2020,67191,0.17%
JCB,2018,66581,0.17%
SUBARU,2020,66349,0.17%
SUBARU,2021,64618,0.16%
SUBARU,2022,61591,0.15%
SAAB,2022,59819,0.15%
ISUZU,2022,56658,0.14%
ROVER,2020,55740,0.14%
ISUZU,2021,55212,0.14%
HARLEY-DAVIDSON,2022,54864,0.13%
HARLEY-DAVIDSON,2021,54411,0.14%
HARLEY-DAVIDSON,2019,54219,0.14%
ISUZU,2020,53688,0.13%
HARLEY-DAVIDSON,2020,53431,0.13%
HARLEY-DAVIDSON,2018,53085,0.13%
MAN,2022,52931,0.13%
ISUZU,2019,52802,0.13%
PIAGGIO,2018,52714,0.13%
ISUZU,2018,51278,0.13%
MAN,2021,51147,0.13%
PIAGGIO,2019,49794,0.12%
TESLA,2020,48821,0.12%
PIAGGIO,2020,48543,0.12%
DS,2022,48158,0.12%
PIAGGIO,2021,47287,0.12%
CHRYSLER,2018,47177,0.12%
ROVER,2021,47059,0.12%
MAN,2020,46691,0.12%
PIAGGIO,2022,46663,0.11%
MAN,2019,45129,0.11%
DS,2021,44677,0.11%
MAN,2018,44326,0.11%
NEW HOLLAND,2022,44268,0.11%
NEW HOLLAND,2021,43539,0.11%
NEW HOLLAND,2020,42068,0.11%
DS,2020,41844,0.11%
NEW HOLLAND,2019,41501,0.10%
CHRYSLER,2019,41260,0.10%
ROVER,2022,41193,0.10%
NEW HOLLAND,2018,40711,0.10%
DS,2019,40231,0.10%
KTM,2022,39526,0.10%
KTM,2021,38524,0.10%
KTM,2020,36621,0.09%
CHRYSLER,2020,36061,0.09%
DS,2018,35455,0.09%
RENAULT TRUCKS,2022,34385,0.08%
KTM,2019,32761,0.08%
AUSTIN,2019,32391,0.08%
AUSTIN,2022,32273,0.08%
AUSTIN,2021,32234,0.08%
AUSTIN,2018,32196,0.08%
AUSTIN,2020,31981,0.08%
CHRYSLER,2021,31641,0.08%
MORRIS,2022,31617,0.08%
MORRIS,2021,31466,0.08%
RENAULT TRUCKS,2021,31216,0.08%
MORRIS,2020,31135,0.08%
MORRIS,2019,30990,0.08%
DAIHATSU,2018,30939,0.08%
OTHER AGRIC/CONSTRUCTIONAL,2018,30584,0.08%
MORRIS,2018,30425,0.08%
KTM,2018,30341,0.08%
OTHER AGRIC/CONSTRUCTIONAL,2019,29920,0.08%
DUCATI,2022,29433,0.07%
BSA,2022,29324,0.07%
ABARTH,2022,29308,0.07%
