vehicle_make,accident_year,vehicles_in_collisions
JEEP,2019,226
PORSCHE,2020,209
ALFA ROMEO,2021,207
JEEP,2021,203
MG,2021,203
SUBARU,2018,202
TESLA,2021,197
ALFA ROMEO,2022,196
OPTARE,2019,193
ALFA ROMEO,2020,192
SAAB,2020,192
SUBARU,2019,190
SAAB,2021,188
JEEP,2020,183
LONDON TAXIS,2020,181
LONDON TAXIS,2021,178
MG,2019,173
KTM,2018,169
CHRYSLER,2018,164
HARLEY-DAVIDSON,2018,164
SAAB,2022,164
ROVER,2019,154
KTM,2019,153
LEVC,2022,150
KTM,2020,148
SYM,2018,147
CHRYSLER,2019,147
HARLEY-DAVIDSON,2019,145
DENNIS,2018,139
SYM,2021,139
MG,2018,136
KEEWAY,2021,135
SUBARU,2022,134
APRILIA,2018,133
SYM,2022,128
SYM,2019,124
LEVC,2021,118
DS,2018,117
MG,2020,113
SUBARU,2021,111
DS,2022,109
SUBARU,2020,107
DS,2021,106
DS,2019,102
OPTARE,2022,101
VMOTO,2021,100
DS,2020,99
APRILIA,2022,99
KEEWAY,2022,97
APRILIA,2021,96
BYD,2022,96
OPTARE,2020,95
OPTARE,2021,89
JOHN DEERE,2018,88
ABARTH,2019,87
DENNIS,2019,84
TESLA,2020,82
APRILIA,2019,81
BENELLI,2022,81
ROVER,2020,80
DAIHATSU,2018,78
KEEWAY,2018,78
SYM,2020,78
ABARTH,2021,76
HARLEY-DAVIDSON,2021,76
KEEWAY,2019,73
SSANGYONG,2018,72
CHRYSLER,2020,72
DENNIS,2021,72
DAIHATSU,2019,71
CHRYSLER,2021,70
JOHN DEERE,2019,69
HARLEY-DAVIDSON,2020,69
TESLA,2019,68
ABARTH,2022,68
ISUZU TRUCKS,2021,67
CHRYSLER,2022,67
KEEWAY,2020,66
APRILIA,2020,65
BENELLI,2021,65
JOHN DEERE,2021,65
ABARTH,2018,64
JOHN DEERE,2022,64
ABARTH,2020,63
HARLEY-DAVIDSON,2022,63
QINGQI,2018,60
LEVC,2019,58
SINNIS,2022,58
QINGQI,2019,56
JOHN DEERE,2020,56
LEVC,2020,52
DAEWOO,2018,51
ISUZU TRUCKS,2019,50
ZONTES,2022,50
NEW HOLLAND,2018,49
GILERA,2020,49
DENNIS,2022,49
SSANGYONG,2022,48
ISUZU TRUCKS,2022,47
SSANGYONG,2019,46
SSANGYONG,2020,46
DAIHATSU,2021,46
SINNIS,2021,46
DUCATI,2022,46
VMOTO,2022,45
GILERA,2018,44
KSR,2018,44
ROVER,2021,44
KYMCO,2018,43
MASSEY,2018,43
SSANGYONG,2021,43
KYMCO,2019,42
DAIHATSU,2020,42
DUCATI,2021,42
KYMCO,2021,42
NEW HOLLAND,2021,41
SINNIS,2019,40
NEW HOLLAND,2020,40
MASSEY,2019,39
SINNIS,2018,38
DENNIS,2020,38
MASSEY,2021,38
MAXUS,2022,38
DUCATI,2018,37
ISUZU TRUCKS,2018,37
MASSEY,2022,37
QINGQI,2020,36
DAIHATSU,2022,35
NEW HOLLAND,2022,34
GILERA,2019,33
DODGE,2018,32
MASSEY,2020,32
SINNIS,2020,32
BYD,2021,32
CUPRA,2022,32
HYOSUNG,2018,31
TESLA,2018,31
BENELLI,2020,31
ROVER,2022,31
BENELLI,2019,30
DAEWOO,2019,30
QINGQI,2021,30
BENTLEY,2022,30
QINGQI,2022,29
ISUZU,2018,28
ZNEN,2018,28
ZONTES,2018,28
LAMBRETTA,2019,28
MCC,2019,28
NEW HOLLAND,2019,28
BENTLEY,2021,28
PROTON,2018,27
BENTLEY,2019,27
CASE,2020,27
PULSE,2018,26
RIEJU,2018,26
VDL,2018,26
CLAAS,2018,25
LONGJIA,2018,25
CAETANO,2019,25
DODGE,2019,25
DUCATI,2019,25
ZNEN,2019,25
ISUZU,2020,25
GILERA,2021,25
LDV,2021,25
AJS,2018,24
LAMBRETTA,2018,24
INFINITI,2019,24
ISUZU,2019,24
FENDT,2022,24
LAMBRETTA,2022,24
BENTLEY,2018,23
TRANSBUS,2018,23
FENDT,2019,23
HYOSUNG,2019,23
VDL,2019,23
ROYAL,2022,23
CAETANO,2018,22
AJS,2019,22
FENDT,2018,21
DUCATI,2020,21
CASE,2018,20
MCC,2018,20
ISUZU TRUCKS,2020,20
KYMCO,2020,20
INFINITI,2021,20
ISUZU,2021,20
POLESTAR,2022,20
LONGJIA,2019,19
CLAAS,2020,19
DODGE,2020,19
WHITE,2018,18
PULSE,2019,18
HYOSUNG,2020,18
VDL,2021,18
ZONTES,2021,18
DAF,2022,18
INFINITI,2022,18
MCC,2022,18
LDV,2019,17
FENDT,2020,17
MCC,2020,17
VALTRA,2020,17
LAMBRETTA,2021,17
JCB,2018,16
CLAAS,2019,16
VDL,2020,16
INFINITI,2020,15
CASE,2021,15
CLAAS,2021,15
DODGE,2021,15
JCB,2021,15
CASE,2022,15
GILERA,2022,15
MASERATI,2022,15
LEVC,2018,14
MASERATI,2018,14
SUPERBYKE,2018,14
BENTLEY,2020,14
ZONTES,2020,14
MCC,2021,14
DODGE,2022,14
ISUZU,2022,14
BENELLI,2018,13
CASE,2019,13
JCB,2019,13
TRANSBUS,2019,13
LAMBRETTA,2020,13
DAF,2021,13
VALTRA,2021,13
CAETANO,2022,13
JCB,2022,13
KYMCO,2022,13
VDL,2022,13
AUSTIN,2018,12
INFINITI,2018,12
LML,2018,12
DERBI,2019,12
LIFAN,2019,12
MASERATI,2019,12
PIONEER,2019,12
ZONTES,2019,12
HYOSUNG,2021,12
VESPA,2021,12
PULSE,2022,12
LDV,2018,11
METROCAB,2018,11
PERODUA,2018,11
VALTRA,2018,11
PROTON,2019,11
AJS,2020,11
BYD,2020,11
JCB,2020,11
LDV,2020,11
LONGJIA,2020,11
PULSE,2020,11
UM,2020,11
KSR,2021,11
MASERATI,2021,11
TRANSBUS,2021,11
HYOSUNG,2022,11
RIEJU,2022,11
HUONIAO,2018,10
IVECO-FORD,2018,10
OPEL,2018,10
KSR,2019,10
LML,2019,10
OPEL,2019,10
RIEJU,2019,10
DAEWOO,2020,10
HUSQVARNA,2022,10
MUTT,2022,10
NIU,2022,10
